#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
The Claim;6.5;115;Drama|Romance|Western;Michael Winterbottom;Milla Jovovich;Sarah Polley;Shirley Henderson;gold|gold mine|miner|railroad|surveyor
The Claim;6.5;115;Drama|Romance|Western;Michael Winterbottom;Milla Jovovich;Sarah Polley;Shirley Henderson;gold|gold mine|miner|railroad|surveyor
The Clan of the Cave Bear;5.3;98;Adventure|Drama|Fantasy;Michael Chapman;Curtis Armstrong;Pamela Reed;Mike Muscat;cave bear|cro magnon|neanderthal|survival|tradition
The Class;7.5;128;Drama;Laurent Cantet;François Bégaudeau;Agame Malembo-Emene;Angélica Sancio;high school|inner city|school|student|teacher
The Client;6.7;119;Crime|Drama|Mystery|Thriller;Joel Schumacher;Bradley Whitford;Anthony LaPaglia;Brad Renfro;boy|brother|lawyer|mafia|senator
The Cold Light of Day;4.9;93;Action|Thriller;Mabrouk El Mechri;Henry Cavill;Bruce Willis;Óscar Jaenada;driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing
The Collection;6.1;82;Action|Horror|Thriller;Marcus Dunstan;Daniel Sharman;Johanna Braddy;Lee Tergesen;booby trap|brainwashing|mercenary|serial killer|trap
The Color of Freedom;7.1;118;Biography|Drama|History;Bille August;Terry Pheto;Patrick Lyster;Tyrone Keogh;african national congress|father daughter relationship|film starts with text|nelson mandela|violence
The Color of Money;7;119;Drama|Sport;Martin Scorsese;Tom Cruise;Bill Cobbs;Mary Elizabeth Mastrantonio;hustler|losing|pool|pool player|tournament
The Color Purple;7.8;154;Drama;Steven Spielberg;Oprah Winfrey;Rae Dawn Chong;Dana Ivey;book strap|girl|racial discrimination|racial tension|stereotype
The Company;7.9;286;Drama|History|Thriller;;Anna Silk;Tom Hollander;Alessandro Nivola;cia|mole|revolution|spy|ussr
The Conformist;8.1;106;Drama;Bernardo Bertolucci;Jean-Louis Trintignant;Stefania Sandrelli;Dominique Sanda;fascist|gun|italy|nudity|sexuality
The Conjuring;7.5;112;Horror|Mystery|Thriller;James Wan;Mackenzie Foy;Lili Taylor;Hayley McFarland;based on true story|farmhouse|paranormal investigator|rhode island|supernatural power
The Conjuring 2;7.8;134;Horror|Mystery|Thriller;James Wan;Javier Botet;Frances O'Connor;Robin Atkin Downes;based on supposedly true story|house|paranormal investigating|psychic|second part
The Conspirator;7;122;Crime|Drama|History;Robert Redford;Robin Wright;Tom Wilkinson;Stephen Root;john wilkes booth|lawyer|lincoln assassination|trial|truth
The Constant Gardener;7.5;129;Drama|Mystery|Romance|Thriller;Fernando Meirelles;Archie Panjabi;Danny Huston;Donald Sumpter;death|diplomat|doctor|kenya|murder
The Contender;7;126;Drama|Thriller;Rod Lurie;Jeff Bridges;Gary Oldman;William Petersen;bridge|governor|political thriller|president|vice president
The Conversation;7.9;113;Drama|Mystery|Thriller;Francis Ford Coppola;Harrison Ford;Teri Garr;Cindy Williams;corruption|neo noir|recording|saxophone|surveillance
The Cookout;3.6;97;Comedy;Lance Rivera;Farrah Fawcett;Vincent Pastore;Jenifer Lewis;flatulence|interracial marriage|marriage
The Cooler;7;101;Crime|Drama|Fantasy|Romance;Wayne Kramer;Estella Warren;Paul Sorvino;Shawn Hatosy;female pubic hair|girl in panties|leg spreading|public nudity|sex in bed
The Core;5.4;135;Action|Adventure|Sci-Fi|Thriller;Jon Amiel;Glenn Morshower;Tchéky Karyo;Rekha Sharma;core|earth|natural disaster|pacemaker|scientist
The Corruptor;6;110;Action|Crime|Drama|Mystery|Thriller;James Foley;Byron Mann;Paul Ben-Victor;Kim Chan;chinatown|illegal immigrant|new york|police|triad
The Cottage;6.2;92;Comedy|Crime|Horror|Thriller;Paul Andrew Williams;Dave Legeno;Doug Bradley;Georgia Groome;countryside|deformed|farmer|gangster|kidnapping
The Cotton Club;6.5;123;Crime|Drama|Music;Francis Ford Coppola;Nicolas Cage;Bob Hoskins;Fred Gwynne;brothers hugging|jazz|jealousy|nudity|parole violation
The Counselor;5.3;138;Crime|Drama|Thriller;Ridley Scott;Michael Fassbender;Brad Pitt;Goran Visnjic;cunnilingus|drug trafficking|lawyer|no panties|shootout
The Count of Monte Cristo;7.7;131;Action|Adventure|Drama|Romance|Thriller;Kevin Reynolds;Henry Cavill;James Frain;Michael Wincott;count|escape|island|revenge|sailor
The Country Bears;4;88;Comedy|Family|Music|Musical;Peter Hastings;Haley Joel Osment;Alex Rocco;Stephen Root;animal in title|bear|box office flop|disney|satire
The Covenant;5.3;97;Action|Fantasy|Horror|Thriller;Renny Harlin;Laura Ramsey;Kyle Schmid;Toby Hemingway;family secret|friendship between men|magic|supernatural power|teenager
The Craft;6.2;101;Drama|Fantasy|Horror|Thriller;Andrew Fleming;Christine Taylor;Rachel True;Brenda Strong;coven|occult|outcast|spell|witch
The Crazies;6.5;101;Horror|Thriller;Breck Eisner;Radha Mitchell;Glenn Morshower;John Aylward;deputy|iowa|rural setting|sheriff|survival
The Crew;5.6;88;Comedy|Crime;Michael Dinner;Seymour Cassel;Dan Hedaya;Lainie Kazan;beach|drug lord|drugs|hotel|stripper
The Crocodile Hunter: Collision Course;5.4;90;Action|Adventure|Comedy|Family;John Stainton;Steve Irwin;Aden Young;Steve Bastoni;cia|crocodile|satellite|snake|spider
The Croods;7.3;98;Adventure|Animation|Comedy|Family|Fantasy;Kirk De Micco;Ryan Reynolds;Emma Stone;Nicolas Cage;cave|caveman|journey|strict father|survival
The Crow;7.6;98;Action|Drama|Fantasy;Alex Proyas;Michael Wincott;Bai Ling;David Patrick Kelly;back from the dead|crime boss|crow|gothic|vigilante
The Cry of the Owl;6;100;Drama|Thriller;Jamie Thraves;Paddy Considine;Caroline Dhavernas;Charlotte Sullivan;isolated house|promotion|river|small town|stalking
The Crying Game;7.3;112;Crime|Drama|Romance|Thriller;Neil Jordan;Jim Broadbent;Miranda Richardson;Stephen Rea;androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love
The Cure;7.4;111;Crime|Horror|Mystery|Thriller;Kiyoshi Kurosawa;Kôji Yakusho;Anna Nakagawa;Denden;breasts|interrogation|investigation|murder|watching television
The Curious Case of Benjamin Button;7.8;166;Drama|Fantasy|Romance;David Fincher;Brad Pitt;Jason Flemyng;Julia Ormond;deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging
The Curse of Downers Grove;4.5;89;Drama|Horror|Mystery|Thriller;Derick Martini;Kevin Zegers;Bella Heathcote;Tom Arnold;
The Curse of the Jade Scorpion;6.8;103;Comedy|Crime|Mystery|Romance;Woody Allen;Woody Allen;Elizabeth Berkley;Peter Gerety;efficiency expert|insurance investigator|magician|scorpion|thief
The Curse of the Were-Rabbit;7.5;85;Animation|Comedy|Family|Mystery|Sci-Fi;Steve Box;Mark Gatiss;Geraldine McEwan;Peter Sallis;competition|giant vegetable|pest control|stop motion animation|vegetable
The Da Vinci Code;6.6;174;Mystery|Thriller;Ron Howard;Tom Hanks;Seth Gabel;Jürgen Prochnow;based on supposedly true story|holy grail|mary magdalene|opus dei|secret
The Damned United;7.6;98;Biography|Drama|Sport;Tom Hooper;Stephen Graham;Mark Bazeley;Maurice Roëves;cup|derby county|flashback|football|leeds united
The Dangerous Lives of Altar Boys;7.1;104;Comedy|Drama;Peter Care;Kieran Culkin;Michael Harding;Jake Richardson;book|boy|catholic|comic book|friend
The Dark Hours;6.1;80;Horror|Thriller;Paul Fox;Dov Tiefenbach;Jeff Seymour;Gordon Currie;brain tumor|champagne|game|psychiatrist|weekend
The Dark Knight;9;152;Action|Crime|Drama|Thriller;Christopher Nolan;Christian Bale;Heath Ledger;Morgan Freeman;based on comic book|dc comics|psychopath|star died before release|urban setting
The Dark Knight Rises;8.5;164;Action|Thriller;Christopher Nolan;Tom Hardy;Christian Bale;Joseph Gordon-Levitt;deception|imprisonment|lawlessness|police officer|terrorist plot
The Darkest Hour;4.9;89;Action|Adventure|Horror|Sci-Fi|Thriller;Chris Gorak;Max Minghella;Veronika Vernadskaya;Dato Bakhtadze;alien|aurora borealis|critically bashed|killing an animal|nightclub
The Day After Tomorrow;6.4;124;Action|Adventure|Sci-Fi|Thriller;Roland Emmerich;Jake Gyllenhaal;Dennis Quaid;Sela Ward;climate|end of the world|global warming|natural disaster|weather
The Day the Earth Stood Still;5.5;104;Drama|Sci-Fi|Thriller;Scott Derrickson;Keanu Reeves;Jon Hamm;Juan Riedinger;alien|earth|giant robot|military|scientist
The Day the Earth Stood Still;5.5;104;Drama|Sci-Fi|Thriller;Scott Derrickson;Keanu Reeves;Jon Hamm;Juan Riedinger;alien|earth|giant robot|military|scientist
The Dead Girl;6.7;93;Crime|Drama|Mystery;Karen Moncrieff;James Franco;Bruce Davison;Piper Laurie;dead girl|girl|granddaughter|morgue|storage unit
The Dead Undead;3;89;Action|Horror|Sci-Fi;Matthew R. Anderson;Johnny Pacar;Vernon Wells;Matthew R. Anderson;flashback|immortality|rural setting|vampire|zombie
The Dead Zone;7.5;60;Drama|Fantasy|Mystery|Sci-Fi;;David Ogden Stiers;Nicole de Boer;Chris Bruno;psychic|psychic power|psychometry|spin off|supernatural power
The Dead Zone;7.2;103;Horror|Sci-Fi|Thriller;David Cronenberg;Tom Skerritt;Herbert Lom;Anthony Zerbe;car accident|coma|evil politician|psychic|vision
The Death and Life of Bobby Z;5.9;97;Action|Crime|Thriller;John Herzfeld;Paul Walker;Olivia Wilde;Jason Flemyng;drug lord|on the run|prison|vegan|vegetarian
The Debt;6.9;113;Drama|Thriller;John Madden;Tom Wilkinson;Jesper Christensen;Romi Aboulafia;east berlin|kiev ukraine|mossad|nazi|nazi war criminal
The Deep End of the Ocean;6.3;106;Drama;Ulu Grosbard;Alexa PenaVega;Treat Williams;Jonathan Jackson;basketball|boy|italian|kidnapping a child|reunion
The Deer Hunter;8.2;183;Drama|War;Michael Cimino;Robert De Niro;Meryl Streep;John Savage;escape|friend|party|pittsburgh steelers|vietnam
The Departed;8.5;151;Crime|Drama|Thriller;Martin Scorsese;Leonardo DiCaprio;Matt Damon;Ray Winstone;boston|mole|police|undercover|undercover cop
The Deported;6.2;90;Comedy;Lance Kawas;Taylor Negron;Michael Rapaport;Talia Shire;actor|italian american|mexico|orphan|usa
The Descendants;7.3;115;Comedy|Drama;Alexander Payne;Shailene Woodley;Nick Krause;Beau Bridges;boating accident|daughters|father daughter relationship|hospital|marriage
The Descent;7.2;100;Adventure|Horror|Thriller;Neil Marshall;MyAnna Buring;Shauna Macdonald;Craig Conway;cave|expedition|friendship between women|group of friends|survival horror
The Devil Inside;4.2;83;Horror;William Brent Bell;Fernanda Andrade;Claudiu Trandafir;Brian Johnson;critically bashed|demonic possession|exorcism|exorcist|found footage
The Devil Wears Prada;6.8;109;Comedy|Drama|Romance;David Frankel;Meryl Streep;Anne Hathaway;Rebecca Mader;fashion|fashion industry|magazine|new york city|publishing
The Devil's Advocate;7.5;136;Drama|Mystery|Thriller;Taylor Hackford;Keanu Reeves;Al Pacino;Charlize Theron;deal with the devil|lawyer|money|reality|supernatural power
The Devil's Double;7.1;109;Biography|Drama|Thriller;Lee Tamahori;Mem Ferda;Dominic Cooper;Ludivine Sagnier;betrayal|debauchery|lust|palace|saddam hussein
The Devil's Own;6.1;111;Action|Crime|Drama|Thriller;Alan J. Pakula;Harrison Ford;Brad Pitt;Natascha McElhone;friendship|murder|northern ireland|police officer|terrorist
The Devil's Rejects;6.9;109;Crime|Horror;Rob Zombie;Sid Haig;Ken Foree;Lew Temple;escape|police|road trip|sheriff|texas
The Devil's Tomb;3.8;90;Action|Horror|Sci-Fi;Jason Connery;Ray Winstone;Henry Rollins;Jason London;desert|mercenary|priest|scientist|war veteran
The Diary of a Teenage Girl;6.9;102;Drama|Romance;Marielle Heller;Alexander Skarsgård;David Fine;Austin Lyon;1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity
The Dictator;6.4;99;Comedy|Romance;Larry Charles;Sayed Badreya;Aasif Mandvi;Horatio Sanz;dictator|hotel|oil|overalls|sunglasses
The Dilemma;5.3;111;Comedy|Drama;Ron Howard;Channing Tatum;Clint Howard;Chelcie Ross;best friend|friend|investigation|secret|two word title
The Dirties;6.7;83;Crime|Drama|Thriller;Matt Johnson;Paul Daniel Ayotte;Shailene Garnett;Matt Johnson;best friend|bully|friend|revenge|school
The Divide;5.8;122;Drama|Sci-Fi|Thriller;Xavier Gens;Michael Biehn;Lauren German;Rosanna Arquette;doggystyle sex|rough sex|sodomy|torture|violent sex
The Diving Bell and the Butterfly;8;112;Biography|Drama;Julian Schnabel;Emmanuelle Seigner;Mathieu Amalric;Isaach De Bankolé;arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity
The Dog Lover;4.8;101;Drama;Alex Ranarivelo;Lea Thompson;Christina Moore;Cullen Douglas;
The Doombolt Chase;7.2;30;Drama|Family;;Peter Vaughan;George Coulouris;Ewen Solon;
The Doors;7.2;140;Biography|Drama|Music|Musical;Oliver Stone;Michael Wincott;Kevin Dillon;Kathleen Quinlan;death|paris france|rock band|singer|the doors
The Dress;7;95;Comedy|Drama;Alex van Warmerdam;Rijk de Gooyer;Ariane Schluter;Henri Garcin;bare breasts|bra|panties|topless female nudity|underwear
The Duchess;6.9;110;Biography|Drama|History|Romance;Saul Dibb;Dominic Cooper;Hayley Atwell;Charlotte Rampling;duchess|duke|heir|infidelity|marriage
The DUFF;6.5;101;Comedy;Ari Sandel;Bella Thorne;Romany Malco;Skyler Samuels;cartoon on tv|generation y|high school|overalls|strong female character
The Dukes of Hazzard;5.1;107;Action|Adventure|Comedy;Jay Chandrasekhar;Alice Greczyn;Jessica Simpson;Michael Weston;1969 dodge charger|bikini|farm|misogynist|tow truck
The East;6.9;116;Drama|Thriller;Zal Batmanglij;Alexander Skarsgård;Julia Ormond;Jason Ritter;anarchist|corporation|greedy institution|vomiting|watching television
The Eclipse;6.2;86;Drama|Horror|Romance;Conor McPherson;Aidan Quinn;Iben Hjejle;Jim Norton;ghost|irish|kissing|novelist|widower
The Edge;6.9;117;Action|Adventure|Drama|Thriller;Lee Tamahori;Anthony Hopkins;Harold Perrineau;Bart the Bear;bear|billionaire|crash|survival tactics|wilderness
The Egyptian;6.6;139;Drama|History;Michael Curtiz;Gene Tierney;Peter Ustinov;Jean Simmons;afterlife|egypt|pharaoh|princess|pyramid
The Elephant Man;8.2;124;Biography|Drama;David Lynch;Anthony Hopkins;Anne Bancroft;Dexter Fletcher;curiosity|exploitation|freak|hospital|physical deformity
The Emperor's Club;6.9;109;Drama;Michael Hoffman;Gabriel Millman;Embeth Davidtz;Rob Morrow;classroom|fund raising|headmaster|reunion|roman
The Emperor's New Groove;7.3;78;Adventure|Animation|Comedy|Family|Fantasy;Mark Dindal;Eartha Kitt;Wendie Malick;John Fiedler;antidote|disney|emperor|first part|llama
The End of the Affair;7.2;102;Drama|Romance;Neil Jordan;Stephen Rea;Ian Hart;James Bolam;breasts|jealousy|obsession|sex scene|spiritual
The English Patient;7.4;162;Drama|Romance|War;Anthony Minghella;Colin Firth;Kristin Scott Thomas;Jürgen Prochnow;church|english|flashback|nurse|patient
The Equalizer;7.2;132;Action|Crime|Thriller;Antoine Fuqua;Denzel Washington;Chloë Grace Moretz;James Wilcox;assassin|ex soldier|gangster|hanged man|mysterious past
The Evil Dead;7.6;96;Fantasy|Horror;Sam Raimi;Ted Raimi;Betsy Baker;Ellen Sandweiss;cult director|cult film|evil dead|necronomicon|psychotronic film
The Exorcism of Emily Rose;6.7;122;Drama|Horror|Thriller;Scott Derrickson;Tom Wilkinson;Colm Feore;JR Bourne;death|demonic possession|exorcism|lawyer|priest
The Exorcist;8;132;Horror;William Friedkin;Ellen Burstyn;Linda Blair;Lee J. Cobb;demonic possession|exorcism|exorcist|loss of innocence|priest
The Expendables;6.5;113;Action|Adventure|Thriller;Sylvester Stallone;Jason Statham;Sylvester Stallone;Jet Li;action hero|assassination attempt|explosion|machine gun|rescue mission
The Expendables 2;6.7;103;Action|Adventure|Thriller;Simon West;Jason Statham;Sylvester Stallone;Bruce Willis;church|hostage|mine|plutonium|revenge
The Expendables 3;6.1;131;Action|Adventure|Thriller;Patrick Hughes;Jason Statham;Sylvester Stallone;Harrison Ford;battle|fight|mission|pg 13 sequel to r rated franchise|rescue
The Exploding Girl;6.3;79;Drama;Bradley Rust Gray;Zoe Kazan;Mark Rendall;Jordan Scovel;friend|hospital|low budget film|ring|stoned
The Express;7.3;130;Biography|Drama|Sport;Gary Fleder;Dennis Quaid;Nicole Beharie;Charles S. Dutton;african american|coach|football movie|nonlinear timeline|syracuse university
The Extra Man;5.9;108;Comedy;Shari Springer Berman;Lynn Cohen;Marian Seldes;Dan Hedaya;co worker|escort|magazine|teacher|writer
The Eye;5.4;92;Horror|Mystery;David Moreau;Chloë Grace Moretz;Alessandro Nivola;Obba Babatundé;cellular memory|eye|eye transplant|seeing dead people|violinist
The Face of an Angel;4.7;101;Drama;Michael Winterbottom;Cara Delevingne;Ava Acres;Sara Stewart;
The Faculty;6.4;104;Horror|Mystery|Sci-Fi;Robert Rodriguez;Jordana Brewster;Salma Hayek;Clea DuVall;alien|high school|ohio|photographer|water
The Fall of the Roman Empire;6.7;172;Drama|History|War;Anthony Mann;James Mason;Mel Ferrer;Stephen Boyd;2nd century|emperor|european history|loosely based on historical events|roman empire
The Family;7.5;60;Drama|Mystery;;Zach Gilford;Joan Allen;Liam James;family drama|lie|missing child|political campaign|secret
The Family Man;6.7;125;Comedy|Drama|Fantasy|Romance;Brett Ratner;Nicolas Cage;Don Cheadle;Amber Valletta;bowling|christmas|parallel universe|salesman|unfaithfulness
The Family Stone;6.3;103;Comedy|Drama|Romance;Thomas Bezucha;Craig T. Nelson;Paul Schneider;Tyrone Giordano;christmas|cruelty|ring|secret|tension
The Fan;5.8;116;Action|Drama|Sport|Thriller;Tony Scott;Robert De Niro;Kurt Fuller;Ellen Barkin;baseball|fan|obsession|salesman|san francisco giants
The Fast and the Furious;6.7;106;Action|Crime|Thriller;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;eighteen wheeler|illegal street racing|truck|trucker|undercover cop
The Fast and the Furious;6.7;106;Action|Crime|Thriller;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;eighteen wheeler|illegal street racing|truck|trucker|undercover cop
The Fast and the Furious;6.7;106;Action|Crime|Thriller;Rob Cohen;Paul Walker;Vin Diesel;Jordana Brewster;eighteen wheeler|illegal street racing|truck|trucker|undercover cop
The Fast and the Furious: Tokyo Drift;6;104;Action|Crime|Thriller;Justin Lin;Amber Stevens West;Zachery Ty Bryan;Nikki Griffin;car|challenge|drift racing|drifting|tokyo japan
The Fault in Our Stars;7.8;133;Drama|Romance;Josh Boone;Shailene Woodley;Sam Trammell;Nat Wolff;cancer|falling in love|friendship|novel|teenager
The Fifth Element;7.7;126;Action|Adventure|Sci-Fi;Luc Besson;Milla Jovovich;Bruce Willis;Gary Oldman;1910s|alien|artificially created woman|love|taxi driver
The Fifth Estate;6.2;128;Biography|Drama|Thriller;Bill Condon;Benedict Cumberbatch;Peter Capaldi;Jamie Blackley;computer hacker|internet|news leak|whistleblowing|wikileaks
The Fighter;7.9;116;Biography|Drama|Sport;David O. Russell;Christian Bale;Jack McGee;Melissa McMeekin;boxer|boxing|boxing match|crack cocaine|lowell massachusetts
The Final Destination;5.2;82;Horror;David R. Ellis;Krista Allen;Andrew Fiscella;Shantel VanSanten;attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out
The Finest Hours;6.8;117;Action|Drama|History|Thriller;Craig Gillespie;Michael Raymond-James;Abraham Benrubi;Graham McTavish;1950s|coast guard|oil tanker|sinking ship|survival
The Firm;6.8;154;Drama|Mystery|Thriller;Sydney Pollack;Tom Cruise;Holly Hunter;Wilford Brimley;bar|fbi|law|law firm|lawyer
The First Wives Club;6.2;103;Comedy;Hugh Wilson;Stockard Channing;Elizabeth Berkley;Stephen Collins;cult film|female therapist|revenge|revenge motive|therapy session
